file_name,file_upload_date,db_content_type,exiftool_mime_type,type_mismatch,type_major_mismatch,media_file,media_entry,file_store_path
Diplom_VFO_077.psd,2011-04-04T12:07:10.000Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/fa876cf6-df64-4df4-940a-1e3e948d5548,https://medienarchiv.zhdk.ch/entries/a08894a3-55dc-442b-85eb-e83c54cd2574,9/991d5885c5d345733791ceff7e155d089f23a13f9fb9e3a298a4568e60b8ca25
Ohne Titel-1.psd,2013-03-25T08:21:06.846Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/c7be3b33-6850-4288-8226-195547dcc7b5,https://medienarchiv.zhdk.ch/entries/ca945602-9be3-4ea9-a353-53833feca941,9/91c09fe91ce0469aabfa6cb7961dbb56
Ohne Titel-2.psd,2013-03-25T08:21:10.616Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/fed5053e-86ae-4325-b86c-d4f4b3fb12cb,https://medienarchiv.zhdk.ch/entries/daa51cee-0bb0-4230-923f-18f15f851fd9,5/5bb63af64f464662b3825f9dfc47cfe8
schott_1.psd,2013-03-25T08:21:20.766Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/e7905d4d-5f80-453f-bc8c-b168388340dc,https://medienarchiv.zhdk.ch/entries/62d572be-2371-4d6c-91fc-bca977794c38,8/82357b87698b4b8dac1ffb22f86e389a
schott_2.psd,2013-03-25T08:21:24.375Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/2b7b5135-184a-4381-9059-d73ca151d53c,https://medienarchiv.zhdk.ch/entries/af26eae4-5558-4cb6-8aa3-80ec5dda9842,3/3dbe78617e75459fa867e78c1c00dfb6
x_F1000009.psd,2013-03-25T08:21:54.829Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/c30a2b2c-3ec1-4d26-9ec5-ea8429109459,https://medienarchiv.zhdk.ch/entries/a86a8f86-66c2-4933-b555-2b0a7cb64e43,b/b50cd4fc166f47b191f43a039774adc3
loogie_schotts.psd,2013-03-25T09:11:58.634Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/608805d9-a8ce-4c86-98e4-79744f910c07,https://medienarchiv.zhdk.ch/entries/7d56cdf2-3cae-45ec-aaa0-29b30fc3ccae,e/eef4773445d843d8a58d575fe1bee68a
schotts_statements.psd,2013-03-25T09:12:29.130Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/13e4735a-fa41-4ab9-a253-f2291828e1f2,https://medienarchiv.zhdk.ch/entries/d470f615-0afe-43f6-b478-b68038ba090d,3/3dcce10ff2244feaaecf5e00af9000de
IMG_4286.psd,2013-04-04T21:26:52.399Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/1817c905-3153-4687-b0bc-591836f7c123,https://medienarchiv.zhdk.ch/entries/5242aabd-aa69-4943-925c-8017ec5d3a53,e/eb540a54ca284f75b3972e9ba8691268
IMG_4295.psd,2013-04-04T21:30:05.849Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/869113ab-67e1-486f-8f9d-f1adcb1c36af,https://medienarchiv.zhdk.ch/entries/cbec901f-5440-4a7a-a61e-a40d06220979,b/b4e229a3b0624186b7a1709e9f492b6f
IMG_4297.psd,2013-04-04T21:30:20.276Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/7c3c3a8e-fb85-4f89-aa23-8bb8950ee8c4,https://medienarchiv.zhdk.ch/entries/b676987b-1f53-46c6-a31d-e5961aa737d7,e/ea4d08bf779c4b30820ce129382146dd
IMG_4298.psd,2013-04-04T21:30:38.176Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/4ab5c79f-39b8-430b-a3cf-5ac975a1fe4b,https://medienarchiv.zhdk.ch/entries/b04efc2c-54f9-4cc9-97d5-0323ac990af6,a/a86533591adb4d718887010b689398c2
